track	layer	comparison	rank	expert	delta_W	A_W	A_S	A_Q	B_W	B_S	B_Q	A_tokens	B_tokens
prefill	0	finance_minus_nonfinance	1	1	0.008941959462159197	0.009816636261402884	0.05527638190954774	0.17759187418356126	0.0008746767992436863	0.0106951871657754	0.08178228072928467	199	374
prefill	0	finance_minus_nonfinance	2	124	0.005059550076870677	0.007607233778764957	0.05025125628140704	0.15138395219742262	0.00254768370189428	0.016042780748663103	0.15880561741807678	199	374
prefill	0	finance_minus_nonfinance	3	135	0.004416728785900955	0.009189857417825764	0.06532663316582915	0.14067550970364054	0.004773128631924809	0.0427807486631016	0.11157188177124241	199	374
prefill	0	finance_minus_nonfinance	4	73	0.004321463298392779	0.01029790518260953	0.10050251256281408	0.10246415656696481	0.005976441884216751	0.058823529411764705	0.10159951203168477	199	374
prefill	0	finance_minus_nonfinance	5	252	0.003529325067658686	0.003529325067658686	0.01507537688442211	0.23411189615469286	0.0	0.0	0.0	199	374
prefill	0	finance_minus_nonfinance	6	175	0.003508495640941383	0.01013625222410293	0.10552763819095477	0.09605305679030872	0.006627756583161548	0.06149732620320856	0.10777308530880082	199	374
prefill	0	finance_minus_nonfinance	7	180	0.0033991205267724666	0.006003356378133901	0.04020100502512563	0.1493334899060808	0.002604235851361435	0.029411764705882353	0.08854401894628879	199	374
prefill	0	finance_minus_nonfinance	8	219	0.003306140486090421	0.003594606970154475	0.035175879396984924	0.10218954100867722	0.0002884664840640541	0.0053475935828877	0.053943232519978124	199	374
prefill	0	finance_minus_nonfinance	9	25	0.003270652478943813	0.003270652478943813	0.01507537688442211	0.21695328110327294	0.0	0.0	0.0	199	374
prefill	0	finance_minus_nonfinance	10	154	0.0032585444815916896	0.0032585444815916896	0.020100502512562814	0.16211258795918657	0.0	0.0	0.0	199	374
prefill	0	finance_minus_nonfinance	11	136	0.003245031220481226	0.01576993816106621	0.07035175879396985	0.22415840671801254	0.012524906940584984	0.045454545454545456	0.27554795269286964	199	374
prefill	0	finance_minus_nonfinance	12	199	0.0030081561236548404	0.004284806710346121	0.03015075376884422	0.14211275589314634	0.0012766505866912802	0.0106951871657754	0.11936682985563471	199	374
prefill	0	finance_minus_nonfinance	13	171	0.002979513907347393	0.0049944038706311	0.035175879396984924	0.14198376717936984	0.002014889963283707	0.01871657754010695	0.10765269232401521	199	374
prefill	0	finance_minus_nonfinance	14	159	0.0028343629567730505	0.005638246144646576	0.04020100502512563	0.1402513728480836	0.002803883187873526	0.03208556149732621	0.08738769268872489	199	374
prefill	0	finance_minus_nonfinance	15	3	0.002778776927610876	0.002778776927610876	0.020100502512562814	0.13824415214864108	0.0	0.0	0.0	199	374
prefill	0	finance_minus_nonfinance	16	28	0.0024902487670777447	0.00409928859004759	0.04020100502512563	0.1019698036774338	0.0016090398229698457	0.016042780748663103	0.10029681563178704	199	374
prefill	0	finance_minus_nonfinance	17	190	0.0022809164708497147	0.0022809164708497147	0.010050251256281407	0.2269511888495466	0.0	0.0	0.0	199	374
prefill	0	finance_minus_nonfinance	18	36	0.002267346320000063	0.010341449449251614	0.06030150753768844	0.17149570336675593	0.008074103129251551	0.045454545454545456	0.1776302688435341	199	374
prefill	0	finance_minus_nonfinance	19	226	0.002266023059054971	0.004016834510718703	0.03015075376884422	0.13322501127217032	0.0017508114516637324	0.016042780748663103	0.10913391382037264	199	374
prefill	0	finance_minus_nonfinance	20	216	0.0021392320539971375	0.0035286766890104153	0.035175879396984924	0.10031523730186752	0.0013894446350132777	0.01871657754010695	0.07423604192785227	199	374
prefill	0	consequence_minus_neutral	1	84	0.01640953575977189	0.018111226144910467	0.08680555555555555	0.2086413251893686	0.0017016903851385763	0.014035087719298246	0.12124543994112355	288	285
prefill	0	consequence_minus_neutral	2	144	0.010596459837293765	0.016529266767730852	0.0798611111111111	0.2069751664828907	0.005932806930437086	0.03859649122807018	0.15371363410677905	288	285
