track	layer	group	expert	W	S	Q	dense_top1_wins	dense_top1_share	n_tokens
prefill	0	finance_consequence	189	0.03256778110893894	0.19801980198019803	0.16446729460014162	12	0.1188118811881188	101
prefill	0	finance_consequence	238	0.029800799477074084	0.24752475247524752	0.1203952298873793	2	0.019801980198019802	101
prefill	0	finance_consequence	81	0.021017659222960953	0.1188118811881188	0.17689863179325468	5	0.04950495049504951	101
prefill	0	finance_consequence	30	0.02043488959401632	0.19801980198019803	0.10319619244978241	0	0.0	101
prefill	0	finance_consequence	236	0.01957766203845107	0.09900990099009901	0.19773438658835582	4	0.039603960396039604	101
prefill	0	finance_consequence	143	0.01844212921343565	0.07920792079207921	0.23283188131962507	3	0.0297029702970297	101
prefill	0	finance_consequence	57	0.017079984299910294	0.1188118811881188	0.14375653452424497	2	0.019801980198019802	101
prefill	0	finance_consequence	84	0.016457720349914134	0.07920792079207921	0.20777871941766596	3	0.0297029702970297	101
prefill	0	finance_consequence	188	0.01631849846390612	0.1188118811881188	0.13734736207120984	4	0.039603960396039604	101
prefill	0	finance_consequence	182	0.01547242089963236	0.15841584158415842	0.09766965692892927	0	0.0	101
prefill	0	finance_consequence	58	0.015363818424542852	0.1485148514851485	0.1034497107252552	0	0.0	101
prefill	0	finance_consequence	79	0.0147571622553977	0.07920792079207921	0.18630917347439596	4	0.039603960396039604	101
prefill	0	finance_neutral	189	0.033467084617486285	0.20408163265306123	0.1639887146256828	12	0.12244897959183673	98
prefill	0	finance_neutral	238	0.028558877644135408	0.25510204081632654	0.1119508003650108	1	0.01020408163265306	98
prefill	0	finance_neutral	30	0.022236616444134855	0.20408163265306123	0.10895942057626079	0	0.0	98
prefill	0	finance_neutral	236	0.022121712791502945	0.10204081632653061	0.21679278535672886	5	0.05102040816326531	98
prefill	0	finance_neutral	81	0.021240629504132306	0.11224489795918367	0.18923469921863326	5	0.05102040816326531	98
prefill	0	finance_neutral	136	0.02101671523682451	0.09183673469387756	0.2288486770232002	5	0.05102040816326531	98
prefill	0	finance_neutral	143	0.01989658104067484	0.09183673469387756	0.21665166022068155	3	0.030612244897959183	98
prefill	0	finance_neutral	188	0.018571070933863013	0.12244897959183673	0.15166374595988127	5	0.05102040816326531	98
prefill	0	finance_neutral	134	0.01854705506206162	0.09183673469387756	0.20195682178689317	5	0.05102040816326531	98
prefill	0	finance_neutral	182	0.016649365073595716	0.17346938775510204	0.09597869277719884	0	0.0	98
prefill	0	finance_neutral	79	0.01610237973279978	0.09183673469387756	0.17533702375715315	3	0.030612244897959183	98
prefill	0	finance_neutral	122	0.015136196374074483	0.09183673469387756	0.1648163605176999	1	0.01020408163265306	98
prefill	0	nonfinance_consequence	189	0.03480359615713726	0.21390374331550802	0.1627068120346167	21	0.11229946524064172	187
