track	layer	comparison	expert	delta_W	A_W	A_S	B_W	B_S	A_tokens	B_tokens
prefill	0	finance_minus_nonfinance	173	-0.0006090593330440562	0.013074447206985394	0.10050251256281408	0.01368350654002945	0.10695187165775401	199	374
prefill	0	finance_minus_nonfinance	45	0.0012208865026193704	0.0012208865026193704	0.01507537688442211	0.0	0.0	199	374
prefill	0	finance_minus_nonfinance	25	0.003270652478943813	0.003270652478943813	0.01507537688442211	0.0	0.0	199	374
prefill	0	finance_minus_nonfinance	218	0.0011231231591541273	0.0020599576954636006	0.010050251256281407	0.0009368345363094733	0.0053475935828877	199	374
prefill	0	finance_minus_nonfinance	185	6.546699078884693e-05	0.005979921299837524	0.05025125628140704	0.005914454309048677	0.045454545454545456	199	374
prefill	0	finance_minus_nonfinance	157	-0.0025423697199480526	0.005995112988059712	0.05527638190954774	0.008537482708007764	0.0748663101604278	199	374
prefill	0	finance_minus_nonfinance	222	-0.001090638577349555	0.004260787214819625	0.02512562814070352	0.00535142579216918	0.029411764705882353	199	374
prefill	0	finance_minus_nonfinance	233	-0.003456422903590959	0.00622569497865593	0.04020100502512563	0.009682117882246889	0.05614973262032086	199	374
prefill	0	finance_minus_nonfinance	36	0.002267346320000063	0.010341449449251614	0.06030150753768844	0.008074103129251551	0.045454545454545456	199	374
prefill	0	finance_minus_nonfinance	216	0.0021392320539971375	0.0035286766890104153	0.035175879396984924	0.0013894446350132777	0.01871657754010695	199	374
prefill	0	finance_minus_nonfinance	189	-0.002049655806945626	0.033010654193550204	0.20100502512562815	0.03506031000049583	0.21390374331550802	199	374
prefill	0	finance_minus_nonfinance	133	-0.00033769586208043297	0.0	0.0	0.00033769586208043297	0.00267379679144385	199	374
prefill	0	finance_minus_nonfinance	42	0.0019742731029437064	0.0019742731029437064	0.01507537688442211	0.0	0.0	199	374
prefill	0	finance_minus_nonfinance	151	0.0012697725626358083	0.0033329422212567635	0.035175879396984924	0.002063169658620955	0.02406417112299465	199	374
prefill	0	finance_minus_nonfinance	174	-0.0020806791364589698	0.0029796666956508843	0.02512562814070352	0.005060345832109854	0.03208556149732621	199	374
prefill	0	consequence_minus_neutral	173	-0.0006353309068710435	0.013155981032640245	0.10416666666666667	0.013791311939511289	0.10526315789473684	288	285
prefill	0	consequence_minus_neutral	45	0.00022101616688427646	0.0005339372104420132	0.006944444444444444	0.0003129210435577367	0.0035087719298245615	288	285
prefill	0	consequence_minus_neutral	25	0.000540442173321527	0.0014046873694702512	0.006944444444444444	0.0008642451961487242	0.0035087719298245615	288	285
prefill	0	consequence_minus_neutral	218	0.0010053436903329793	0.0018269295806664896	0.010416666666666666	0.0008215858903335104	0.0035087719298245615	288	285
prefill	0	consequence_minus_neutral	185	-0.0050374739739694864	0.003431640781274988	0.034722222222222224	0.008469114755244474	0.05964912280701754	288	285
prefill	0	consequence_minus_neutral	157	0.010522127885279633	0.012888049676655291	0.10416666666666667	0.0023659217913756577	0.031578947368421054	288	285
prefill	0	consequence_minus_neutral	222	-0.0019179720411071606	0.004018687382730955	0.020833333333333332	0.005936659423838116	0.03508771929824561	288	285
prefill	0	consequence_minus_neutral	233	0.0065462610725801566	0.011737713428269129	0.0798611111111111	0.005191452355688972	0.021052631578947368	288	285
prefill	0	consequence_minus_neutral	36	-0.002305522622983158	0.007714815119006895	0.04513888888888889	0.010020337741990053	0.056140350877192984	288	285
prefill	0	consequence_minus_neutral	216	0.0021996085525391473	0.0032264352392350707	0.034722222222222224	0.0010268266866959234	0.014035087719298246	288	285
prefill	0	consequence_minus_neutral	189	-0.0006613961496481011	0.03401950824092883	0.20833333333333334	0.03468090439057693	0.21052631578947367	288	285
prefill	0	consequence_minus_neutral	133	0.0004385355986738956	0.0004385355986738956	0.003472222222222222	0.0	0.0	288	285
prefill	0	consequence_minus_neutral	42	0.0005307185293193608	0.0009496250058321386	0.006944444444444444	0.0004189064765127778	0.0035087719298245615	288	285
prefill	0	consequence_minus_neutral	151	-0.0012564837544173592	0.0018792025904806034	0.020833333333333332	0.0031356863448979626	0.03508771929824561	288	285
prefill	0	consequence_minus_neutral	174	-0.0063143754329690336	0.0011970785606412512	0.010416666666666666	0.007511453993610285	0.04912280701754386	288	285
prefill	0	finance_consequence_minus_finance_neutral	173	-0.0007659499132233443	0.012697245742181937	0.09900990099009901	0.013463195655405281	0.10204081632653061	101	98
prefill	0	finance_consequence_minus_finance_neutral	45	0.0006124885419989824	0.0015225140258148494	0.019801980198019802	0.000910025483815867	0.01020408163265306	101	98
prefill	0	finance_consequence_minus_finance_neutral	25	0.0014920790406938115	0.004005445172350816	0.019801980198019802	0.0025133661316570043	0.01020408163265306	101	98
prefill	0	finance_consequence_minus_finance_neutral	218	-0.0006489138000943526	0.0017403921054673867	0.009900990099009901	0.0023893059055617393	0.01020408163265306	101	98
prefill	0	finance_consequence_minus_finance_neutral	185	-0.003325396280295147	0.004342288960797703	0.039603960396039604	0.00766768524109285	0.061224489795918366	101	98
prefill	0	finance_consequence_minus_finance_neutral	157	0.009517431477268254	0.0106820892934481	0.0891089108910891	0.0011646578161798456	0.02040816326530612	101	98
prefill	0	finance_consequence_minus_finance_neutral	222	-0.0009067816859694589	0.0038142314096688357	0.019801980198019802	0.004721013095638295	0.030612244897959183	101	98
prefill	0	finance_consequence_minus_finance_neutral	233	0.008878172680719767	0.0105978604194124	0.06930693069306931	0.0017196877386926321	0.01020408163265306	101	98
prefill	0	finance_consequence_minus_finance_neutral	36	-0.0006232418571643656	0.010034526323612881	0.0594059405940594	0.010657768180777247	0.061224489795918366	101	98
prefill	0	finance_consequence_minus_finance_neutral	216	0.003401865570997874	0.005203967271712886	0.04950495049504951	0.001802101700715012	0.02040816326530612	101	98
prefill	0	finance_consequence_minus_finance_neutral	189	-0.0008993035085473472	0.03256778110893894	0.19801980198019803	0.033467084617486285	0.20408163265306123	101	98
prefill	0	finance_consequence_minus_finance_neutral	133	0.0	0.0	0.0	0.0	0.0	101	98
prefill	0	finance_consequence_minus_finance_neutral	42	0.0014895931741953903	0.0027078416007886726	0.019801980198019802	0.0012182484265932823	0.01020408163265306	101	98
prefill	0	finance_consequence_minus_finance_neutral	151	-0.0035836629432298346	0.0015681232843898101	0.019801980198019802	0.005151786227619645	0.05102040816326531	101	98
prefill	0	finance_consequence_minus_finance_neutral	174	-0.004189864739585577	0.0009163162208800977	0.009900990099009901	0.005106180960465675	0.04081632653061224	101	98
prefill	0	nonfinance_consequence_minus_nonfinance_neutral	173	-0.0005595187758876165	0.013403747152085642	0.10695187165775401	0.013963265927973258	0.10695187165775401	187	187
prefill	0	nonfinance_consequence_minus_nonfinance_neutral	45	0.0	0.0	0.0	0.0	0.0	187	187
prefill	0	nonfinance_consequence_minus_nonfinance_neutral	25	0.0	0.0	0.0	0.0	0.0	187	187
prefill	0	nonfinance_consequence_minus_nonfinance_neutral	218	0.0018736690726189466	0.0018736690726189466	0.0106951871657754	0.0	0.0	187	187
prefill	0	nonfinance_consequence_minus_nonfinance_neutral	185	-0.005949321880486349	0.002939793368805501	0.03208556149732621	0.00888911524929185	0.058823529411764705	187	187
prefill	0	nonfinance_consequence_minus_nonfinance_neutral	157	0.0110840430143424	0.014079504215178965	0.11229946524064172	0.002995461200836565	0.0374331550802139	187	187
prefill	0	nonfinance_consequence_minus_nonfinance_neutral	222	-0.002444620634071376	0.004129115475133492	0.0213903743315508	0.0065737361092048675	0.0374331550802139	187	187
prefill	0	nonfinance_consequence_minus_nonfinance_neutral	233	0.00534247616043517	0.012353355962464473	0.0855614973262032	0.007010879802029303	0.026737967914438502	187	187
