run	track	layer	rank	expert	delta_W	A_W	A_S	B_W	B_S	A_tokens	B_tokens
baseline	prefill	12	11	107	0.0048604928081216435	0.010880420115746378	0.10559006211180125	0.006019927307624734	0.062111801242236024	161	161
baseline	prefill	12	12	181	0.004808369191322764	0.004808369191322764	0.049689440993788817	0.0	0.0	161	161
baseline	prefill	12	13	103	0.004456144147795089	0.0061614650868641275	0.062111801242236024	0.001705320939069038	0.018633540372670808	161	161
baseline	prefill	12	14	242	0.0043398216591249966	0.006766203296954766	0.06832298136645963	0.0024263816378297686	0.024844720496894408	161	161
baseline	prefill	12	15	1	0.004037457648436028	0.038366608378331044	0.33540372670807456	0.034329150729895015	0.2981366459627329	161	161
baseline	prefill	13	1	173	0.02780057938553117	0.08009423244139569	0.453416149068323	0.05229365305586452	0.38509316770186336	161	161
baseline	prefill	13	2	104	0.01539339410286896	0.02071681172428691	0.11180124223602485	0.0053234176214179505	0.031055900621118012	161	161
baseline	prefill	13	3	220	0.014890458291158884	0.0831247507889888	0.422360248447205	0.06823429249782992	0.32298136645962733	161	161
baseline	prefill	13	4	89	0.013402327204433642	0.06705554757520009	0.42857142857142855	0.05365322037076645	0.32919254658385094	161	161
baseline	prefill	13	5	65	0.011653960947018526	0.018553076352418693	0.16149068322981366	0.006899115405400167	0.07453416149068323	161	161
baseline	prefill	13	6	120	0.0115950439364917	0.027657384157683908	0.2360248447204969	0.016062340221192208	0.14285714285714285	161	161
baseline	prefill	13	7	105	0.008998703749622972	0.009840377496220867	0.08074534161490683	0.0008416737465978955	0.006211180124223602	161	161
baseline	prefill	13	8	76	0.007709397083162773	0.008178021618192338	0.08695652173913043	0.00046862453502956514	0.006211180124223602	161	161
baseline	prefill	13	9	81	0.0072041394001173265	0.023288343901206546	0.15527950310559005	0.01608420450108922	0.14285714285714285	161	161
baseline	prefill	13	10	74	0.0068408776024609765	0.008092498307231629	0.06832298136645963	0.0012516207047706526	0.012422360248447204	161	161
baseline	prefill	13	11	110	0.005900334167104413	0.010143056402439106	0.11180124223602485	0.004242722235334693	0.043478260869565216	161	161
baseline	prefill	13	12	151	0.005725251063830324	0.0205242019835866	0.2111801242236025	0.014798950919756276	0.16149068322981366	161	161
baseline	prefill	13	13	79	0.00454331957031999	0.02262002671537801	0.16770186335403728	0.018076707145058022	0.16149068322981366	161	161
baseline	prefill	13	14	150	0.0036428921891992314	0.0074956891276044815	0.07453416149068323	0.00385279693840525	0.037267080745341616	161	161
baseline	prefill	13	15	56	0.0036229244930016643	0.007443242318153273	0.08695652173913043	0.0038203178251516087	0.049689440993788817	161	161
baseline	prefill	14	1	218	0.025433287483893195	0.04024336027148033	0.35403726708074534	0.014810072787587135	0.14285714285714285	161	161
baseline	prefill	14	2	189	0.021199081647783405	0.1267889552950529	0.45962732919254656	0.1055898736472695	0.391304347826087	161	161
baseline	prefill	14	3	145	0.012739384791080596	0.017493545790332674	0.09316770186335403	0.004754160999252077	0.031055900621118012	161	161
baseline	prefill	14	4	231	0.011371802356960843	0.019354178623925068	0.12422360248447205	0.007982376266964224	0.049689440993788817	161	161
baseline	prefill	14	5	191	0.01050210919055736	0.0252548353541482	0.2111801242236025	0.01475272616359084	0.14285714285714285	161	161
baseline	prefill	14	6	149	0.009307684482865392	0.011081874424450397	0.08695652173913043	0.0017741899415850055	0.031055900621118012	161	161
baseline	prefill	14	7	220	0.00872247612559744	0.00973397966859674	0.08074534161490683	0.001011503542999301	0.012422360248447204	161	161
baseline	prefill	14	8	225	0.007954075876656554	0.01517055640194239	0.12422360248447205	0.007216480525285837	0.062111801242236024	161	161
