run	track	layer	group	n_tokens	E173_W	E173_S	E173_Q	E173_dense_top1_wins	E173_dense_top1_share
e173_-2	generation_clean_l39_last_rows	30	A	566	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	30	B	768	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	30	ALL	1334	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	31	A	566	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	31	B	768	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	31	ALL	1334	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	32	A	566	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	32	B	768	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	32	ALL	1334	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	33	A	566	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	33	B	768	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	33	ALL	1334	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	34	A	566	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	34	B	768	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	34	ALL	1334	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	35	A	566	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	35	B	768	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	35	ALL	1334	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	36	A	566	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	36	B	768	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	36	ALL	1334	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	37	A	566	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	37	B	768	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	37	ALL	1334	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	38	A	566	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	38	B	768	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	38	ALL	1334	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	39	A	566	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	39	B	768	0.0	0.0	0.0	0	0.0
e173_-2	generation_clean_l39_last_rows	39	ALL	1334	0.0	0.0	0.0	0	0.0
