layer	track	group	expert	W	S	Q	dense_top1_wins	dense_top1_share	n_tokens
0	generation_clean	A_unsafe_redflag	224	0.01871368590783906	0.1303501945525292	0.14356469487506385	14	0.027237354085603113	514
0	generation_clean	A_unsafe_redflag	127	0.014324981528043746	0.0933852140077821	0.15339667719613512	15	0.029182879377431907	514
0	generation_clean	A_unsafe_redflag	175	0.013960664652810763	0.09922178988326848	0.14070160061852416	15	0.029182879377431907	514
0	generation_clean	A_unsafe_redflag	136	0.012535338858702205	0.06809338521400778	0.1840904049535124	14	0.027237354085603113	514
0	generation_clean	A_unsafe_redflag	2	0.011851599977439137	0.08560311284046693	0.13844823610008447	4	0.007782101167315175	514
0	generation_clean	A_unsafe_redflag	186	0.01137305227432603	0.07782101167315175	0.1461437217250895	8	0.01556420233463035	514
0	generation_clean	A_unsafe_redflag	18	0.010663741776437842	0.08560311284046693	0.12457189257020569	3	0.005836575875486381	514
0	generation_clean	A_unsafe_redflag	218	0.01028775611770317	0.06614785992217899	0.1555266660146891	10	0.019455252918287938	514
0	generation_clean	A_unsafe_redflag	65	0.010034189901080423	0.06809338521400778	0.1473592459758668	5	0.009727626459143969	514
0	generation_clean	A_unsafe_redflag	144	0.009670663525684627	0.058365758754863814	0.16569070174006328	9	0.017509727626459144	514
0	generation_clean	A_unsafe_redflag	234	0.00964460734304718	0.06031128404669261	0.15991381207504035	10	0.019455252918287938	514
0	generation_clean	A_unsafe_redflag	250	0.00959989716170208	0.07782101167315175	0.12335867852787173	4	0.007782101167315175	514
0	generation_clean	A_unsafe_redflag	78	0.00955802045962097	0.05642023346303502	0.16940767297397166	9	0.017509727626459144	514
0	generation_clean	A_unsafe_redflag	22	0.009395658919689798	0.06614785992217899	0.14204025543295754	2	0.0038910505836575876	514
0	generation_clean	A_unsafe_redflag	57	0.008706062622813673	0.042801556420233464	0.20340528127846488	17	0.033073929961089495	514
0	generation_clean	A_unsafe_redflag	50	0.008430720691946898	0.05252918287937743	0.1604959420615076	7	0.013618677042801557	514
0	generation_clean	A_unsafe_redflag	134	0.008419991841386615	0.06031128404669261	0.13960889698299098	6	0.011673151750972763	514
0	generation_clean	A_unsafe_redflag	238	0.008286181487263341	0.058365758754863814	0.14196990948177857	8	0.01556420233463035	514
0	generation_clean	A_unsafe_redflag	101	0.008282406819117178	0.04669260700389105	0.17738154604275955	12	0.023346303501945526	514
0	generation_clean	A_unsafe_redflag	84	0.008279342941589931	0.05252918287937743	0.1576141582213787	6	0.011673151750972763	514
0	generation_clean	B_professional_or_descriptive	224	0.018858014924205444	0.12630208333333334	0.14930881919370909	23	0.029947916666666668	768
0	generation_clean	B_professional_or_descriptive	2	0.01148216354042107	0.0859375	0.1336106302885361	10	0.013020833333333334	768
0	generation_clean	B_professional_or_descriptive	156	0.010518457855827357	0.0625	0.1682953256932377	10	0.013020833333333334	768
0	generation_clean	B_professional_or_descriptive	78	0.010511460152083525	0.06640625	0.15829022346666954	18	0.0234375	768
0	generation_clean	B_professional_or_descriptive	135	0.00938006885915064	0.0703125	0.13340542377458686	7	0.009114583333333334	768
0	generation_clean	B_professional_or_descriptive	65	0.009207908956381768	0.057291666666666664	0.16071986542048178	9	0.01171875	768
0	generation_clean	B_professional_or_descriptive	41	0.00888024559361609	0.06510416666666667	0.13640057231794314	9	0.01171875	768
