track	layer	rank	expert	delta_W	A_W	A_S	A_Q	B_W	B_S	B_Q	A_tokens	B_tokens
generation_clean	0	1	127	0.0073450483676348165	0.014324981528043746	0.0933852140077821	0.15339667719613512	0.00697993316040893	0.044270833333333336	0.1576643725645311	514	768
generation_clean	0	2	136	0.0067978087304693515	0.012535338858702205	0.06809338521400778	0.1840904049535124	0.005737530128232853	0.036458333333333336	0.1573722549458154	514	768
generation_clean	0	3	250	0.006477283359310925	0.00959989716170208	0.07782101167315175	0.12335867852787173	0.0031226138023911555	0.0234375	0.13323152223535598	514	768
generation_clean	0	4	175	0.006380310935103202	0.013960664652810763	0.09922178988326848	0.14070160061852416	0.0075803537177075615	0.0546875	0.13861218226665256	514	768
generation_clean	0	5	144	0.005473674137851281	0.009670663525684627	0.058365758754863814	0.16569070174006328	0.004196989387833346	0.03125	0.13430366041066708	514	768
generation_clean	0	6	186	0.005095397100807309	0.01137305227432603	0.07782101167315175	0.1461437217250895	0.006277655173518721	0.041666666666666664	0.15066372416444931	514	768
generation_clean	0	7	18	0.004797197555836099	0.010663741776437842	0.08560311284046693	0.12457189257020569	0.005866544220601743	0.049479166666666664	0.11856594635321419	514	768
generation_clean	0	8	199	0.004677739271213861	0.008039464826130754	0.06420233463035019	0.12522075517064266	0.0033617255549168927	0.026041666666666668	0.12909026130880868	514	768
generation_clean	0	9	22	0.003960161627006541	0.009395658919689798	0.06614785992217899	0.14204025543295754	0.005435497292683257	0.036458333333333336	0.14908792574216934	514	768
generation_clean	0	10	157	0.003784320569000386	0.006451693250032244	0.06614785992217899	0.09753442148578156	0.0026673726810318575	0.028645833333333332	0.09311555541056667	514	768
generation_clean	0	11	84	0.0034598424831992726	0.008279342941589931	0.05252918287937743	0.1576141582213787	0.004819500458390659	0.033854166666666664	0.14236062892477025	514	768
generation_clean	0	12	66	0.0033521484273092055	0.007832690988607695	0.05058365758754864	0.15484627569785983	0.00448054256129849	0.03125	0.14337736196155168	514	768
generation_clean	0	13	194	0.0032421838766894524	0.006184541318258496	0.05642023346303502	0.10961566336499541	0.0029423574415690435	0.03125	0.09415543813020939	514	768
generation_clean	0	14	93	0.003205506582584596	0.006267635749480255	0.04474708171206226	0.14006803370577614	0.0030621291668956594	0.020833333333333332	0.14698220001099166	514	768
generation_clean	0	15	92	0.00290108040843781	0.005218121739728257	0.048638132295719845	0.10728458296881296	0.002317041331290447	0.020833333333333332	0.11121798390194146	514	768
generation_clean	0	16	234	0.002891816716914088	0.00964460734304718	0.06031128404669261	0.15991381207504035	0.006752790626133092	0.044270833333333336	0.1525336235550063	514	768
generation_clean	0	17	218	0.002880343612953887	0.01028775611770317	0.06614785992217899	0.1555266660146891	0.0074074125047492835	0.048177083333333336	0.15375385955803916	514	768
generation_clean	0	18	110	0.0028358262665050104	0.004648671345163359	0.05058365758754864	0.09190065659284487	0.0018128450786583485	0.01953125	0.09281766802730744	514	768
generation_clean	0	19	231	0.0026949253939882226	0.005803951440896153	0.05058365758754864	0.11473965540848548	0.00310902604690793	0.03125	0.09948883350105377	514	768
generation_clean	0	20	233	0.002687625544762277	0.007999021574193322	0.05058365758754864	0.15813450342828336	0.005311396029431045	0.033854166666666664	0.15689046733088627	514	768
prefill	0	1	13	0.019657710667332833	0.03281623483035957	0.16770186335403728	0.1956819928773293	0.01315852416302674	0.06832298136645963	0.1925929445679368	161	161
prefill	0	2	174	0.018915449533624513	0.028789143946130743	0.16770186335403728	0.171668599086187	0.009873694412506228	0.055900621118012424	0.17662942226816697	161	161
prefill	0	3	89	0.014498178427416181	0.016640283033208424	0.16149068322981366	0.1030417526287137	0.0021421046057922438	0.031055900621118012	0.06897576830651025	161	161
